ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,numerator,denominator,estimate,CA_RR,version
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037211920,2119.2,Los Angeles,06037,Southern California,14,86,271,31.7,1.832369942,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037540400,5404,Los Angeles,06037,Southern California,14,0,255,0,0,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06077003309,33.09,San Joaquin,06077,San Joaquin Valley,10,31,454,6.8,0.3930635838,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037554202,5542.02,Los Angeles,06037,Southern California,14,65,537,12.1,0.6994219653,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06071004201,42.01,San Bernardino,06071,Southern California,14,94,1494,6.3,0.3641618497,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037232120,2321.2,Los Angeles,06037,Southern California,14,52,634,8.2,0.4739884393,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037540502,5405.02,Los Angeles,06037,Southern California,14,38,401,9.5,0.549132948,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037554300,5543,Los Angeles,06037,Southern California,14,113,709,15.9,0.9190751445,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06025011400,114,Imperial,06025,Southern California,14,25,300,8.3,0.4797687861,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037554401,5544.01,Los Angeles,06037,Southern California,14,50,551,9.1,0.5260115607,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06071000810,8.1,San Bernardino,06071,Southern California,14,147,722,20.4,1.179190751,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06065042507,425.07,Riverside,06065,Southern California,14,101,545,18.5,1.069364162,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06071000811,8.11,San Bernardino,06071,Southern California,14,33,563,5.9,0.3410404624,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06077002000,20,San Joaquin,06077,San Joaquin Valley,10,11,375,2.9,0.1676300578,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037575201,5752.01,Los Angeles,06037,Southern California,14,0,658,0,0,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037540800,5408,Los Angeles,06037,Southern California,14,284,2394,11.9,0.6878612717,Tue Jun 12 12:05:41 2018
